URL,DOI,rdr_counts
https://bitbucket.org/aeaverification/aej-applied-10.1257-app.20170042.git,10.1257/app.20170042,3
https://bitbucket.org/aeaverification/aej-pol-10.1257-pol.20140391.git,10.1257/pol.20140391,52
https://bitbucket.org/aeaverification/aejpolicy-17.git,10.1257/ICY,6
https://bitbucket.org/aeaverification/aej-pol-10.1257-pol.20150394.git,10.1257/pol.20150394,4
https://bitbucket.org/aeaverification/aej-app-10.1257-app.20160618.git,10.1257/app.20160618,22
https://bitbucket.org/aeaverification/aejpoilcy-18.git,10.1257/LCY,31
https://bitbucket.org/aeaverification/aej-policy-10.1257-pol.20150271.git,10.1257/pol.20150271,12
https://bitbucket.org/aeaverification/aej-policy-10.1257-pol.20160395.git,10.1257/pol.20160395,34
